Section,Question,Answer
Basic Accounts,What is a bank guarantee?,A bank guarantee is a promise by the bank to pay a specific amount to someone if the bank's customer fails to meet their contractual commitment.
Basic Accounts,What is a letter of credit?,A letter of credit is issued by a bank guaranteeing a seller will get paid as long as they meet the delivery conditions. It's widely used in international trade.
Basic Accounts,What is a trust account?,A trust account holds money managed by one person (trustee) for the benefit of another (beneficiary) under a legal agreement.
Basic Accounts,What is an account statement?,"An account statement is an official record of all your transactions — deposits, withdrawals, charges, and interest — for a specific period."
Basic Accounts,Can I open a bank account online?,"Yes. Most banks let you open an account online by filling a form, uploading KYC documents, and completing a video KYC call."
Basic Accounts,What is video KYC?,"Video KYC lets you complete identity verification through a live video call with a bank official from your home, without visiting the branch."
Basic Accounts,What is a current account for businesses?,"A current account gives businesses unlimited daily transactions, overdraft facilities, and cheque books. It doesn't pay interest but provides all the tools a business needs."
Basic Accounts,What is an average monthly balance?,Average monthly balance is the average of your daily closing balances in a month. Banks require you to maintain this to avoid penalty charges.
Basic Accounts,What is a banker's cheque?,A banker's cheque is issued by the bank itself on your behalf using bank funds. It's safer than a personal cheque because it won't bounce.
Basic Accounts,What is a multipurpose financial inclusion card?,"It's a single card issued by banks under financial inclusion programs that combines savings, insurance, and credit access for rural customers."
Basic Accounts,What is an NBFC?,"NBFC stands for Non-Banking Financial Company. It offers loans and investments like a bank but doesn't have a banking licence. Examples: Bajaj Finance, HDFC Ltd."
Basic Accounts,Can I have multiple bank accounts?,"Yes, you can have accounts in as many banks as you want. But each account has its own maintenance requirements and charges."
Basic Accounts,What is a bulk deposit?,A bulk deposit is a single deposit of ₹2 crore or more. Banks often offer special negotiated interest rates for these.
Basic Accounts,What is auto-renewal of FD?,"If you don't give any instruction when your FD matures, the bank automatically renews it for the same duration at the current interest rate."
Basic Accounts,What is a partial withdrawal from FD?,Some banks allow you to break only a part of your FD while the rest continues earning interest at the original rate.
Basic Accounts,What is the PMMY loan?,Pradhan Mantri MUDRA Yojana provides small business loans up to ₹10 lakh through banks and MFIs without collateral for non-farm businesses.
Basic Accounts,What is a regional rural bank?,"Regional rural banks (RRBs) are government-owned banks that serve rural areas, giving loans to farmers, artisans, and laborers. They are co-owned by the central and state government and a sponsor bank."
Basic Accounts,What is a self-help group bank linkage?,"Banks provide loans directly to self-help groups (SHGs) of rural women, who then lend to members. This helps people without collateral access credit."
Basic Accounts,What is account re-activation?,"To reactivate a dormant or inoperative account, visit the branch with KYC documents, fill a reactivation form, and do a transaction to restore normal access."
Basic Accounts,What is the difference between savings and current account?,"A savings account earns interest and limits daily transactions. A current account offers unlimited transactions without interest, and is meant for businesses."
Basic Accounts,What is a MICR code?,MICR stands for Magnetic Ink Character Recognition. It's a code at the bottom of your cheque used by machines to process and clear it quickly.
Basic Accounts,What is an IFSC code?,"IFSC is Indian Financial System Code. It's an 11-character code that identifies your specific bank branch for electronic fund transfers like NEFT, RTGS, and IMPS."
Basic Accounts,How do I find my IFSC code?,"You can find your IFSC code on the first page of your cheque book, your passbook, the bank's website, or on a cheque leaf."
Basic Accounts,What is a mini statement?,"A mini statement shows your last 5–10 transactions. You can get it at an ATM, through SMS banking, or by giving a missed call to your bank."
Basic Accounts,What is a cheque truncation system?,"CTS replaces physical cheque movement with digital images during clearing, making the process faster and reducing errors."
Basic Accounts,What is the Positive Pay System?,Positive Pay requires you to share the cheque details with the bank before presenting it. This helps the bank catch fake or altered cheques.
Basic Accounts,What is a currency chest?,A currency chest is a storage facility at certain bank branches that holds RBI's stock of notes and coins for distribution to nearby branches.
Basic Accounts,What is a nidhi company?,"A nidhi company is a type of NBFC that takes deposits from and lends only to its own members, encouraging savings within a small community."
Basic Accounts,What is the difference between NRE and FCNR?,"NRE accounts hold foreign earnings in Indian rupees. FCNR accounts hold foreign earnings in the original foreign currency, protecting against exchange rate changes."
Basic Accounts,What is an account aggregator?,An account aggregator is an RBI-licensed service that lets you securely share your financial data across banks and apps with your consent.
Basic Accounts,What is a SHG?,"SHG stands for Self-Help Group. It's a small group of people, usually women, who save together and take turns getting small loans from a pooled fund."
Basic Accounts,What is the NACH system?,"NACH is National Automated Clearing House. It automates bulk payments like salaries, EMIs, SIPs, and utility bills between banks."
Basic Accounts,What is a flexi deposit account?,A flexi deposit combines a savings account with an FD. Extra money above a limit goes into an FD automatically to earn more interest.
Basic Accounts,What is an account opening bonus?,"Some banks offer cashback, welcome gifts, or reward points when you open a new account or upgrade to a premium account."
Basic Accounts,What is the difference between nominee and legal heir?,"A nominee receives the account balance after your death for safekeeping, but the legal heirs under your will or succession law are the actual owners."
Basic Accounts,What is a succession certificate?,A succession certificate is issued by a court to allow legal heirs to claim funds from a deceased person's bank account when there's no will.
Basic Accounts,What is a passbook update?,Passbook update means visiting your bank branch or using a passbook printing kiosk to record all your latest transactions in your passbook.
Basic Accounts,What is TDS deduction from savings account interest?,"Banks deduct TDS if total interest on savings account exceeds ₹10,000 per year for regular customers. You can avoid it by submitting Form 15G or 15H."
Basic Accounts,What is a joint account mode of operation?,"For a joint account you can choose: Either or Survivor (any one can operate), Former or Survivor (primary holder operates), or Jointly (both signatures required)."
Basic Accounts,How do I update my mobile number in a bank account?,"Visit your branch with your old and new mobile number and a valid ID proof, fill a request form, and your number will be updated usually within one working day."
Basic Accounts,How do I change my address in a bank account?,"Submit a request at your branch along with a fresh address proof like an Aadhaar, utility bill, or rent agreement. Some banks allow this online too."
Basic Accounts,What is a SCSS account?,"SCSS is Senior Citizen Savings Scheme. It's a government-backed investment for people above 60, offering higher interest rates with a 5-year tenure."
Basic Accounts,What is a bank's role in the economy?,Banks collect savings from people and lend them to businesses and individuals. This keeps money flowing through the economy and supports growth.
Basic Accounts,What is the Insolvency and Bankruptcy Code's impact on banks?,The IBC lets banks take faster legal action against large defaulters by initiating resolution or liquidation of the borrower's assets through the NCLT.
Basic Accounts,What is a stale cheque?,A cheque becomes stale if it is not presented to the bank within 3 months from the date written on it. The bank will not honour a stale cheque.
Basic Accounts,What is an ante-dated cheque?,An ante-dated cheque has a date earlier than the date it was written. It's valid as long as it's presented within 3 months of the written date.
Basic Accounts,What is a post-dated cheque?,A post-dated cheque carries a future date. The bank will not process it until that date arrives.
Basic Accounts,What is a bearer cheque?,A bearer cheque can be encashed by anyone who presents it at the bank counter — no name is required. This makes it risky if lost.
Basic Accounts,What is an order cheque?,An order cheque pays only to the person whose name is written on it. The bank verifies identity before making payment.
Basic Accounts,What is a crossed cheque?,A crossed cheque has two parallel lines on it meaning it can only be deposited into a bank account and not encashed directly at the counter.
Basic Accounts,What is account closure procedure?,"Submit a written request, return your debit card and unused cheques, and make sure all pending transactions are cleared. The bank will close the account and pay out the balance."
Basic Accounts,What is a savings bank interest calculation?,"Banks calculate interest on your daily closing balance and credit it to your account quarterly, usually in March, June, September, and December."
Basic Accounts,What is the maximum FD tenure?,"Fixed deposits can be opened for a minimum of 7 days and a maximum of 10 years, depending on the bank's product offerings."
Basic Accounts,What is a gold savings scheme at a bank?,Some banks offer gold savings schemes where you can make regular payments and redeem them as gold at the end of the scheme period.
Basic Accounts,What is an individual account?,An individual account is a standard bank account held in the name of a single person who is the sole owner and operator.
Basic Accounts,Can a housewife open a bank account?,"Yes, any Indian citizen regardless of employment status can open a savings account with valid KYC documents."
Basic Accounts,What is the PMJJBY scheme?,Pradhan Mantri Jeevan Jyoti Bima Yojana is a government life insurance scheme linked to bank accounts. It offers ₹2 lakh life cover for a yearly premium of ₹436.
Basic Accounts,What is PMSBY?,"Pradhan Mantri Suraksha Bima Yojana offers ₹2 lakh accidental death cover for a yearly premium of just ₹20, linked to your savings account."
Basic Accounts,What is an account holder?,An account holder is the person or entity in whose name a bank account is officially registered and who has the authority to operate it.
Basic Accounts,What is a corporate banking account?,"A corporate banking account is designed for large businesses and offers services like cash management, trade finance, payroll, and foreign currency accounts."
Basic Accounts,What is a flexi recurring deposit?,"A flexi RD allows you to vary your monthly deposit amount, unlike a regular RD where the amount is fixed. It gives more flexibility to irregular earners."
Basic Accounts,What is a multi-currency account?,A multi-currency account holds balances in multiple foreign currencies. It's mainly used by frequent international travellers and businesses dealing in multiple countries.
Digital Banking,What is a debit card?,"A debit card is linked to your bank account. When you use it to shop or withdraw cash, the money is taken directly from your account."
Digital Banking,What is a credit card?,"A credit card lets you borrow money from the bank to make purchases. You pay it back later, and if you miss the deadline, you're charged interest."
Digital Banking,What is a PIN?,PIN stands for Personal Identification Number. It's your 4–6 digit secret code used to authorise card transactions at ATMs and shops.
Digital Banking,What is an ATM?,"An ATM is Automated Teller Machine. It lets you withdraw cash, check your balance, and do basic banking without visiting a branch."
Digital Banking,What is mobile banking?,"Mobile banking is using your bank's app on your smartphone to transfer money, pay bills, check your balance, and manage your account."
Digital Banking,What is net banking?,"Net banking lets you log in to your bank's website to do all your banking — transfers, bill payments, fixed deposits — from any browser."
Digital Banking,What is OTP?,OTP is One-Time Password. It's a temporary code sent to your phone or email to confirm that it's really you doing a transaction.
Digital Banking,What is NEFT?,"NEFT is National Electronic Funds Transfer. It lets you send money to any bank account in India. Transfers happen in batches every 30 minutes, 24x7."
Digital Banking,What is RTGS?,RTGS is Real-Time Gross Settlement. It's for transferring large amounts (above ₹2 lakh) instantly. It works 24x7 and is settled in real time.
Digital Banking,What is IMPS?,"IMPS is Immediate Payment Service. It lets you send money to any bank account instantly, any time, even on holidays. There's no minimum amount."
Digital Banking,What is UPI?,"UPI is Unified Payments Interface. It lets you send money instantly using just a mobile number, UPI ID, or QR code — no account number needed."
Digital Banking,What is a virtual card?,"A virtual card is a digital card number you can use for online shopping without using your real card, keeping your actual card details safe."
Digital Banking,What is two-factor authentication?,Two-factor authentication means you need two things to log in — usually your password plus an OTP sent to your phone. It makes your account much harder to hack.
Digital Banking,What is a daily transaction limit?,Banks set a maximum amount you can transfer or withdraw in a day for security. You can usually change this in your banking app or at the branch.
Digital Banking,What is internet banking fraud?,Internet banking fraud is when someone illegally accesses your account online to steal money. It often happens through phishing or fake bank websites.
Digital Banking,What is QR code payment?,"You scan a merchant's QR code using your UPI app and the payment goes through instantly. No cash, no card, no hassle."
Digital Banking,What is a digital wallet?,"A digital wallet like Paytm or Amazon Pay stores your money digitally. You can use it to pay at stores, apps, and websites without a bank card."
Digital Banking,What is the BHIM app?,BHIM is a UPI payment app developed by NPCI. You can use it to send and receive money instantly using just a UPI ID or mobile number.
Digital Banking,What is contactless payment?,"You tap your card or phone on a payment machine to pay. In India, no PIN is needed for amounts up to ₹5,000."
Digital Banking,What is a QR code?,A QR code is a square barcode that stores payment information. Merchants display them so customers can scan and pay using any UPI app.
Digital Banking,What is UPI ID?,"A UPI ID is your payment address, like name@bank. You share it with others so they can send you money without knowing your account number."
Digital Banking,What is Google Pay?,"Google Pay is a UPI-based payment app by Google. You can use it to send money, pay bills, and recharge phones directly from your bank account."
Digital Banking,What is PhonePe?,"PhonePe is a popular UPI app in India where you can make payments, split bills, pay utilities, invest in mutual funds, and buy insurance."
Digital Banking,What is Paytm?,"Paytm is a fintech app offering a digital wallet, UPI payments, bill payments, investing, and even a payments bank account."
Digital Banking,What is net banking login?,You log in to net banking using your customer ID or username and a password. A second verification using OTP is usually needed.
Digital Banking,What is IMPS transfer limit?,Most banks allow IMPS transfers of up to ₹5 lakh per transaction. Some banks allow up to ₹2–5 lakh per day depending on your account type.
Digital Banking,How long does NEFT take?,"NEFT settles in the next half-hour batch after you initiate the transfer. It runs 24x7, so your money usually arrives within 30 minutes."
Digital Banking,What is RTGS minimum amount?,The minimum amount for RTGS is ₹2 lakh. There is no maximum limit. It's ideal for large payments like property deals.
Digital Banking,What is a UPI limit per day?,"RBI allows up to ₹1 lakh per transaction for standard UPI. For specific uses like capital markets or medical emergencies, the limit is ₹5 lakh."
Digital Banking,What is UPI AutoPay?,UPI AutoPay lets you set up automatic recurring payments — like subscriptions or SIPs — so money is debited without you approving each time.
Digital Banking,What is tokenization of cards?,"Tokenization replaces your actual card number with a unique code (token) during online payments, so your real card details are never exposed."
Digital Banking,What is a payment gateway?,"A payment gateway is the technology that connects online shops to banks, securely processing your card or UPI payment when you checkout."
Digital Banking,What is Aadhaar-enabled Payment System?,AePS lets you withdraw cash or check balance at a banking agent using just your Aadhaar number and fingerprint — no card or phone needed.
Digital Banking,What is a banking correspondent?,"A banking correspondent is an agent, often a shopkeeper, who provides basic banking services in areas without a bank branch using a handheld device."
Digital Banking,What is a prepaid card?,A prepaid card is loaded with a set amount of money beforehand. You can use it like a debit card until the balance runs out.
Digital Banking,What is CVV on a card?,CVV is a 3-digit security code on the back of your card. It's used for online transactions to confirm you physically have the card.
Digital Banking,What is phishing?,"Phishing is when fraudsters send fake emails or messages that look like they're from your bank, trying to trick you into giving your password or OTP."
Digital Banking,What is vishing?,Vishing is phone fraud. Someone calls pretending to be a bank official and tries to get you to share your account details or OTP.
Digital Banking,What is smishing?,Smishing is SMS fraud. You get a message with a suspicious link claiming to be from your bank. Clicking it can steal your info or install malware.
Digital Banking,What is card skimming?,"Card skimming is when fraudsters attach a hidden device to an ATM to copy your card data, which they then use to make fake cards."
Digital Banking,What is a chargeback?,If you dispute a card transaction — say you didn't get what you paid for — your bank can reverse the payment through a chargeback process.
Digital Banking,What is e-KYC?,e-KYC is electronic KYC using your Aadhaar number. It verifies your identity digitally in seconds without any physical paperwork.
Digital Banking,What is DigiLocker?,"DigiLocker is a government app where you can store digital copies of your Aadhaar, PAN, and other documents. Banks accept these for KYC."
Digital Banking,What is USSD banking?,"USSD banking lets you access banking services like balance check and fund transfer by dialling *99# on any mobile phone, even without internet."
Digital Banking,What is the BBPS?,"BBPS is Bharat Bill Payment System. It's a single platform to pay all kinds of bills — electricity, water, gas, loan EMIs — through any bank or app."
Digital Banking,What is FASTag?,"FASTag is an RFID sticker on your car's windscreen. When you pass a toll booth, the fee is automatically deducted from your linked account."
Digital Banking,What is a missed call banking service?,Many banks let you check your balance or get a mini statement by just giving a missed call from your registered mobile number — no internet needed.
Digital Banking,What is IVR banking?,"IVR lets you do basic banking by calling your bank's helpline and pressing numbered keys on your phone to check balance, report lost cards, etc."
Digital Banking,What is open banking?,Open banking lets you share your financial data with trusted third-party apps (with your permission) to get better financial tools and services.
Digital Banking,What is a banking chatbot?,"A banking chatbot is an AI assistant on your bank's app or website that answers questions, helps with transactions, and resolves issues instantly."
Digital Banking,What is the free ATM withdrawal limit?,"RBI allows 5 free ATM transactions at your own bank and 3 free transactions at other banks in metro cities per month. After that, ₹21 is charged per transaction."
Digital Banking,What is a failed ATM transaction?,"If money is deducted from your account but you don't get cash from the ATM, the bank must reverse the amount within 5 business days."
Digital Banking,What is the NPCI?,"NPCI is National Payments Corporation of India. It runs all major Indian payment systems like UPI, RuPay, IMPS, FASTag, and NACH."
Digital Banking,What is a debit card daily limit?,"Banks usually allow ₹40,000–₹1 lakh per day on debit cards. You can change this in your banking app within the maximum limit."
Digital Banking,What is UPI Lite?,"UPI Lite is for small payments up to ₹500. It uses on-device balance and works without internet. Great for quick, low-value transactions."
Digital Banking,What is a credit card statement?,"It's a monthly summary of all your credit card transactions, the total amount due, minimum payment due, and the payment due date."
Digital Banking,What is a credit card billing cycle?,A billing cycle is the monthly period (usually 30 days) during which all credit card transactions are recorded and billed.
Digital Banking,What is a credit card grace period?,The grace period is the time between your billing date and payment due date — usually 15–25 days. Pay the full amount in this period to avoid interest.
Digital Banking,What is a credit card minimum payment?,The minimum payment is the smallest amount (usually 5% of the balance) you must pay each month to keep your credit card account in good standing.
Digital Banking,What is credit card interest?,"If you don't pay your full credit card bill, interest is charged on the outstanding amount — usually 24% to 42% per year, which is very high."
Digital Banking,What is a credit card cash advance?,"A cash advance lets you withdraw cash using your credit card. It usually has a high fee and interest starts from day one, with no grace period."
Digital Banking,What is a debit card international usage?,Debit cards can be used abroad if the bank activates international access. A small conversion fee applies on each foreign currency transaction.
Digital Banking,What is a credit card reward program?,"Credit card rewards give you points or cashback on every purchase. Accumulated points can be redeemed for travel, shopping, or bill payments."
Digital Banking,What is a credit card annual fee?,"An annual fee is a yearly charge for using a credit card. Some cards are lifetime-free; premium cards may charge ₹500 to ₹10,000 per year."
Digital Banking,What is a card block request?,"If your card is lost or stolen, you can block it instantly by calling the bank's helpline, using the mobile app, or sending an SMS."
Digital Banking,What is a digital loan?,"A digital loan is sanctioned and disbursed entirely online in minutes, using data from your bank account, credit score, and digital income proof."
Digital Banking,What is UPI 123PAY?,"UPI 123PAY allows feature phone users without internet to make UPI payments via IVR call or missed call, extending digital banking to rural India."
Digital Banking,What is SIM swap fraud?,"SIM swap fraud is when a criminal gets a duplicate SIM in your name, takes over your mobile number, and intercepts your OTPs to access your bank account."
Digital Banking,What is a bank's cyber security team?,"A bank's cyber security team monitors transactions around the clock, blocks suspicious activity, and responds to fraud to protect customer accounts."
Digital Banking,What is AePS withdrawal?,"With AePS, you can withdraw cash from a business correspondent's micro ATM using only your Aadhaar number and fingerprint — no card or PIN required."
Digital Banking,What is the National Financial Switch?,"NFS is the ATM network run by NPCI that connects all ATMs in India, letting you withdraw cash from any bank's ATM using any bank's card."
Digital Banking,What is a debit card EMI?,Some banks allow you to convert large debit card purchases into EMIs. The amount is deducted monthly from your account with a small interest charge.
Digital Banking,What is a recurring payment?,"A recurring payment is an automatic debit that happens every month for things like loan EMIs, insurance premiums, or streaming subscriptions."
Digital Banking,What is NACH debit?,NACH debit is an automatic payment pulled from your account by a lender or service provider after you authorize it once via a mandate.
Digital Banking,What is a NACH return charge?,"If a NACH debit fails because your account had insufficient funds, the bank charges you a return fee — usually ₹100 to ₹500."
Digital Banking,What is Net Banking 2FA?,"Net banking uses two-factor authentication: your password (first factor) and an OTP sent to your registered mobile (second factor), to keep your account safe."
Digital Banking,What is a payment app PIN?,A payment app PIN is a 4–6 digit code you set in UPI apps like Google Pay or PhonePe to authorize each money transfer from your phone.
Digital Banking,What is a banking app update?,"Banks regularly update their apps to fix security issues, add new features, and comply with RBI guidelines. Always keep your banking app updated."
Digital Banking,What is biometric login in banking?,"Biometric login lets you access your banking app using your fingerprint or face instead of a password, making it faster and more secure."
Digital Banking,What is the e-Rupee?,"The e-Rupee is India's Central Bank Digital Currency launched by RBI. It's a digital form of cash, equal in value to physical rupee notes."
Digital Banking,What is CBDC?,"CBDC is Central Bank Digital Currency. In India, RBI's Digital Rupee is a CBDC that works like cash but in digital form, without needing a bank account."
Digital Banking,What is an IBAN?,"IBAN is International Bank Account Number. It's a standard format for bank account numbers used in international transfers, especially in Europe and the Middle East."
Digital Banking,What is a SWIFT code?,SWIFT code is a unique code identifying your bank's international address. It's needed when sending or receiving money across countries.
Digital Banking,What is cross-border payment?,Cross-border payment is sending money from one country to another. It involves currency conversion and is processed through SWIFT or correspondent banks.
Digital Banking,What is a wire transfer?,"A wire transfer is an electronic transfer of funds between banks, often used for international payments. It's secure but may take 1–5 business days."
Digital Banking,What is a remittance?,"Remittance is money sent by someone working abroad back to their family in their home country. In India, remittances from NRIs are a major source of income."
Digital Banking,What is the RBI Retail Direct platform?,"RBI Retail Direct is a platform where you can directly buy government bonds, treasury bills, and sovereign gold bonds online without a broker."
Digital Banking,What is Sovereign Gold Bond?,Sovereign Gold Bonds are RBI-issued bonds that give you returns linked to gold prices plus 2.5% annual interest. No storage risk and capital gains are tax-free on maturity.
Digital Banking,What is a Demat account?,"A Demat account holds your shares and securities in electronic form, like a bank account holds money. It's needed for trading in the stock market."
Digital Banking,What is an online fixed deposit?,You can open an FD through net banking or your mobile app without visiting a branch. The rate is the same as at the branch.
Digital Banking,What is 3D Secure for credit cards?,3D Secure is an extra authentication step — usually an OTP — required for online credit card transactions to prevent unauthorised use.
Digital Banking,What is card-not-present fraud?,"Card-not-present fraud happens when someone uses your card details (number, CVV, expiry) for online purchases without having your physical card."
Digital Banking,What is a mobile POS terminal?,A mobile POS is a card-swiping device connected to a smartphone. Small merchants use it to accept debit/credit card payments on the go.
Digital Banking,What is a QR code merchant?,"A merchant who displays a QR code on their counter for customers to scan and pay using any UPI app, without needing a card machine."
Digital Banking,What is cardless cash withdrawal?,You can withdraw cash at certain ATMs using just your mobile banking app and a one-time code — no card needed.
Digital Banking,What is a UPI transaction ID?,Every UPI payment generates a unique transaction ID (UTR number). Use it to track your payment or raise a dispute if something goes wrong.
Digital Banking,What is a NEFT UTR number?,A UTR (Unique Transaction Reference) number is generated for every NEFT and RTGS transfer. It's used to track or dispute a transaction.
Digital Banking,What is a digital savings account?,A digital savings account is opened and operated entirely online. It works like a regular savings account but with no physical branch visits required.
Digital Banking,What is real-time balance update?,"After any transaction, your account balance is updated instantly in your mobile app or net banking, so you always know exactly how much you have."
Digital Banking,What is an SMS transaction alert?,"Banks send you an SMS every time a transaction happens on your account — credit, debit, ATM withdrawal — so you can immediately detect fraud."
Digital Banking,What is a bank's 24x7 helpline?,"Most banks have a toll-free 24-hour helpline where you can block cards, report fraud, get balance info, or raise complaints anytime."
Digital Banking,What is a payment failure and auto-refund?,"If an online payment fails but money is deducted, the bank must auto-refund within 5 business days. If not done, they owe you compensation."
Digital Banking,What is BBPS bill payment?,"Through BBPS, you can pay any recurring bill — electricity, broadband, water, insurance, school fees — through any bank app or payment platform."
Digital Banking,What is a bank token?,A bank token (hardware or software) generates a one-time code for added security when logging into net banking or authorizing large transactions.
Digital Banking,What is a push notification in banking?,"Push notifications are alerts from your bank app for every transaction, low balance, new offers, or due payments — keeping you instantly informed."
